timePeriod,currentTemperature,currentHumidity,currentCO2,currentLight,currentNoise,maxTemp,minTemp,meanTemp,maxHumidity,minHumidity,meanHumidity,maxCO2,minCO2,meanCO2,maxLight,minLight,meanLight,maxNoise,minNoise,meanNoise,rating
2027-08-30 13:32:00 to 2027-08-30 14:02:00,23,49,597,371,69,23,23,23.0,49,49,49.0,597,570,582.67,385,371,376.33,69,58,64.0,4
2027-08-31 02:09:00 to 2027-08-31 02:39:00,21,54,1211,226,63,22,19,20.42,54,46,49.42,1258,833,1011.32,235,215,224.97,77,57,67.13,1
2027-09-01 14:34:00 to 2027-09-01 15:04:00,20,31,865,274,62,20,17,18.71,46,30,36.19,1369,737,1061.84,281,261,271.87,67,47,57.19,3
2027-09-03 18:32:00 to 2027-09-03 19:02:00,28,50,1038,632,26,29,25,26.68,52,36,43.13,1222,491,800.06,647,629,637.87,45,26,34.19,2
2027-09-04 01:47:00 to 2027-09-04 02:17:00,26,56,712,545,68,27,26,26.11,58,55,56.22,789,578,652.33,556,538,546.44,69,49,59.0,2
2027-09-06 04:28:00 to 2027-09-06 04:58:00,21,51,1015,605,37,22,18,19.68,52,38,44.03,1096,571,812.35,605,585,594.84,55,35,44.45,3
2027-09-08 08:34:00 to 2027-09-08 09:04:00,20,52,707,213,40,20,20,20.0,52,52,52.0,707,655,671.6,225,213,219.0,47,32,38.4,5
2027-09-08 15:40:00 to 2027-09-08 16:10:00,26,60,875,467,63,26,26,26.0,60,58,58.91,882,771,815.82,483,463,474.27,77,60,69.64,1
2027-09-11 03:31:00 to 2027-09-11 04:01:00,20,57,597,510,38,20,20,20.0,57,57,57.0,597,588,592.5,510,499,504.5,38,33,35.5,4
2027-09-12 15:44:00 to 2027-09-12 16:14:00,21,35,801,553,78,21,21,21.0,38,35,36.47,867,705,766.07,555,537,544.2,78,59,66.73,2
2027-09-12 18:26:00 to 2027-09-12 18:56:00,22,60,1271,253,44,23,20,21.58,62,48,53.74,1271,775,963.48,271,251,261.84,55,36,45.35,4
2027-09-14 00:31:00 to 2027-09-14 01:01:00,26,54,805,599,45,26,26,26.0,54,54,54.0,805,791,798.0,599,596,597.5,48,45,46.5,3
2027-09-15 10:36:00 to 2027-09-15 11:06:00,20,49,1640,681,49,22,18,19.71,52,37,44.1,1640,904,1234.13,699,680,690.61,52,32,42.16,1
2027-09-17 14:32:00 to 2027-09-17 15:02:00,19,53,740,477,45,19,19,19.0,53,53,53.0,740,721,730.33,493,477,486.67,45,38,41.0,5
2027-09-19 15:38:00 to 2027-09-19 16:08:00,22,40,741,797,62,22,22,22.0,40,39,39.11,741,647,683.67,804,788,797.0,78,62,70.33,3
2027-09-20 17:39:00 to 2027-09-20 18:09:00,24,37,481,318,47,24,24,24.0,37,37,37.0,513,435,467.0,332,318,325.4,47,33,40.6,5
2027-09-23 00:50:00 to 2027-09-23 01:20:00,27,38,983,490,41,27,26,26.1,42,38,40.33,983,697,790.57,504,486,493.43,52,32,40.14,2
2027-09-25 12:47:00 to 2027-09-25 13:17:00,20,45,710,497,39,21,20,20.06,48,45,46.17,734,576,649.39,508,490,498.06,56,38,45.89,5
2027-09-25 22:31:00 to 2027-09-25 23:01:00,25,36,728,618,38,25,25,25.0,36,36,36.0,728,713,720.5,625,618,621.5,52,38,45.0,5
2027-09-27 10:32:00 to 2027-09-27 11:02:00,25,52,697,573,45,25,25,25.0,52,52,52.0,697,678,685.33,585,573,577.0,45,32,38.0,4
2027-09-29 13:33:00 to 2027-09-29 14:03:00,26,45,641,276,68,26,26,26.0,45,45,45.0,642,628,637.25,277,261,272.5,79,67,72.0,2
2027-09-30 21:49:00 to 2027-09-30 22:19:00,25,48,1405,401,61,25,21,23.0,55,35,44.39,1774,857,1294.97,420,401,408.71,71,52,60.87,1
2027-10-03 08:14:00 to 2027-10-03 08:44:00,25,49,614,660,51,26,24,24.42,60,49,53.23,994,553,733.42,665,646,655.74,52,32,42.16,5
2027-10-03 15:35:00 to 2027-10-03 16:05:00,21,44,742,228,71,21,21,21.0,44,44,44.0,742,668,690.0,233,219,226.5,71,55,61.5,4
2027-10-03 18:03:00 to 2027-10-03 18:33:00,19,60,724,538,41,20,18,19.13,61,53,56.03,857,481,624.52,558,538,545.94,47,27,37.0,4
2027-10-05 01:24:00 to 2027-10-05 01:54:00,22,58,1396,534,39,23,20,21.71,61,49,54.39,1451,816,1073.26,550,531,539.29,45,27,36.65,4
2027-10-05 09:36:00 to 2027-10-05 10:06:00,24,56,586,495,65,24,24,24.0,56,55,55.29,586,510,544.29,511,495,504.0,65,48,56.29,3
2027-10-07 21:35:00 to 2027-10-07 22:05:00,21,46,460,399,62,21,21,21.0,46,46,46.0,488,443,461.83,410,399,405.33,68,51,57.83,2
2027-10-08 02:32:00 to 2027-10-08 03:02:00,19,47,480,747,45,19,19,19.0,47,47,47.0,485,474,479.67,748,728,741.0,55,45,49.67,4
2027-10-09 14:35:00 to 2027-10-09 15:05:00,24,44,465,386,70,24,24,24.0,45,44,44.33,484,453,464.0,403,384,393.5,72,59,65.5,4
2027-10-09 15:49:00 to 2027-10-09 16:19:00,22,52,1056,413,47,23,22,22.1,52,48,49.45,1056,772,864.5,426,406,416.25,63,45,53.45,2
2027-10-10 04:16:00 to 2027-10-10 04:46:00,22,52,1275,602,65,23,20,21.45,55,46,50.0,1360,798,996.84,610,590,597.97,65,45,54.0,1
2027-10-11 07:33:00 to 2027-10-11 08:03:00,23,41,812,738,54,23,23,23.0,41,41,41.0,812,789,803.0,746,728,736.5,54,38,48.0,2
2027-10-13 19:48:00 to 2027-10-13 20:18:00,24,47,686,294,64,25,24,24.05,47,44,45.32,744,553,634.68,294,276,282.68,78,58,67.26,3
2027-10-14 01:33:00 to 2027-10-14 02:03:00,23,48,781,795,53,24,20,21.61,51,37,45.16,1410,641,925.03,799,779,791.19,54,34,45.03,3
2027-10-14 04:43:00 to 2027-10-14 05:13:00,26,59,796,643,50,26,26,26.0,61,58,59.29,914,757,817.64,657,638,646.14,66,47,57.57,2
2027-10-16 15:47:00 to 2027-10-16 16:17:00,20,38,847,775,61,20,20,20.0,40,36,37.28,924,729,789.39,791,771,779.83,75,56,65.39,3
2027-10-18 20:44:00 to 2027-10-18 21:14:00,23,60,534,325,56,23,23,23.0,61,58,59.07,652,479,545.53,333,316,324.13,69,50,60.4,3
2027-10-19 08:48:00 to 2027-10-19 09:18:00,26,55,953,287,59,26,25,25.16,55,52,52.68,996,752,826.47,287,270,278.47,71,52,62.11,3
2027-10-20 17:38:00 to 2027-10-20 18:08:00,25,52,585,356,40,25,25,25.0,54,52,53.0,648,560,589.22,364,349,357.0,48,33,39.56,5
2027-10-22 01:34:00 to 2027-10-22 02:04:00,21,68,1252,617,60,21,18,19.06,68,54,62.0,1431,683,1007.48,627,607,619.29,79,59,68.87,1
2027-10-22 03:59:00 to 2027-10-22 04:29:00,26,43,797,692,37,26,25,25.3,45,39,42.23,993,582,709.37,700,680,689.27,52,33,43.87,2
2027-10-22 07:19:00 to 2027-10-22 07:49:00,24,41,1480,642,60,27,24,25.45,49,38,43.03,1480,861,1110.48,659,639,647.45,72,52,63.1,1
2027-10-23 11:44:00 to 2027-10-23 12:14:00,22,51,703,424,70,23,22,22.07,52,49,50.27,756,581,630.8,435,418,425.0,73,53,63.6,2
2027-10-25 15:53:00 to 2027-10-25 16:23:00,24,55,732,365,41,24,23,23.12,60,55,57.42,930,621,741.17,376,358,368.79,49,29,38.12,4
2027-10-26 18:43:00 to 2027-10-26 19:13:00,27,54,528,289,64,27,26,26.07,55,54,54.29,632,476,524.43,290,270,280.5,71,54,63.64,3
2027-10-27 02:00:00 to 2027-10-27 02:30:00,24,61,1003,216,46,28,23,25.35,67,46,57.45,1799,833,1259.48,227,207,218.19,53,34,45.16,4
2027-10-28 05:52:00 to 2027-10-28 06:22:00,20,40,556,720,69,21,20,20.04,40,35,37.0,741,433,535.52,737,718,725.57,77,58,68.74,3
2027-10-30 08:16:00 to 2027-10-30 08:46:00,26,50,979,700,41,27,25,25.61,59,48,52.71,1143,713,906.03,709,689,699.06,44,26,35.48,4
2027-11-01 10:44:00 to 2027-11-01 11:14:00,24,57,649,412,63,24,24,24.0,59,57,57.67,733,539,599.67,428,408,418.07,72,61,67.27,4
2027-11-02 20:26:00 to 2027-11-02 20:56:00,18,66,782,800,72,22,18,19.68,68,56,62.58,1352,652,949.65,810,790,799.61,77,57,68.26,1
2027-11-05 00:37:00 to 2027-11-05 01:07:00,18,49,531,325,64,18,18,18.0,49,48,48.25,531,439,473.75,340,323,332.25,66,62,63.62,2
2027-11-06 12:10:00 to 2027-11-06 12:40:00,25,59,880,268,34,27,24,25.39,60,51,54.87,985,544,715.1,275,258,267.35,45,25,34.94,5
2027-11-08 17:39:00 to 2027-11-08 18:09:00,18,41,496,237,42,18,18,18.0,42,40,41.2,496,422,455.9,251,233,240.5,46,32,37.1,5
2027-11-09 18:59:00 to 2027-11-09 19:29:00,27,44,877,290,45,27,26,26.3,49,42,44.43,1011,676,801.73,295,276,285.1,64,44,53.57,3
2027-11-12 00:52:00 to 2027-11-12 01:22:00,24,45,531,412,62,25,24,24.17,46,42,43.57,717,480,559.48,421,401,409.78,77,59,67.39,2
2027-11-13 07:31:00 to 2027-11-13 08:01:00,23,52,498,664,43,23,23,23.0,52,52,52.0,498,495,496.5,664,650,657.0,43,40,41.5,5
2027-11-14 09:32:00 to 2027-11-14 10:02:00,23,47,688,594,63,23,23,23.0,47,47,47.0,688,669,676.33,594,586,590.67,67,62,64.0,4
2027-11-14 11:46:00 to 2027-11-14 12:16:00,26,42,816,236,48,26,25,25.18,45,42,43.29,916,745,809.18,236,217,226.18,56,37,46.88,4
2027-11-14 18:33:00 to 2027-11-14 19:03:00,19,46,748,613,49,19,19,19.0,46,46,46.0,760,735,745.75,621,610,615.5,64,47,52.5,5
2027-11-17 00:05:00 to 2027-11-17 00:35:00,21,43,567,326,62,22,21,21.39,47,40,42.9,844,451,579.13,331,311,321.52,62,43,50.26,4
2027-11-18 12:33:00 to 2027-11-18 13:03:00,24,51,1592,289,37,28,24,25.9,62,45,52.06,1592,851,1208.06,304,285,294.58,52,33,42.84,2
2027-11-20 12:33:00 to 2027-11-20 13:03:00,22,47,468,754,46,22,22,22.0,47,47,47.0,476,460,469.0,754,747,750.75,46,35,39.5,5
2027-11-22 01:07:00 to 2027-11-22 01:37:00,25,41,981,213,61,25,22,23.23,41,32,35.42,1269,815,979.35,216,196,206.13,68,48,60.0,3
2027-11-23 08:50:00 to 2027-11-23 09:20:00,18,62,540,558,61,18,18,18.0,62,57,58.38,685,489,563.19,573,553,560.86,77,58,66.33,2
2027-11-23 10:58:00 to 2027-11-23 11:28:00,26,52,1167,306,45,27,26,26.14,59,52,54.59,1167,786,905.07,323,303,311.1,63,43,52.24,2
2027-11-23 16:23:00 to 2027-11-23 16:53:00,22,65,651,691,50,25,22,23.68,65,50,56.06,1178,617,820.48,700,682,691.16,51,31,39.45,4
2027-11-26 04:43:00 to 2027-11-26 05:13:00,18,55,705,781,60,23,18,19.77,65,50,56.81,1435,561,898.19,788,768,778.65,71,51,59.61,4
2027-11-26 08:45:00 to 2027-11-26 09:15:00,20,55,631,768,71,20,20,20.0,56,54,55.31,631,422,485.88,770,751,763.12,74,57,67.25,3
2027-11-26 11:43:00 to 2027-11-26 12:13:00,24,48,655,505,48,24,24,24.0,48,46,47.21,655,467,522.64,507,491,499.36,56,40,47.21,4
2027-11-26 21:01:00 to 2027-11-26 21:31:00,24,62,956,411,48,25,24,24.19,62,54,57.42,1183,773,893.65,423,403,413.03,52,33,42.03,3
2027-11-29 00:43:00 to 2027-11-29 01:13:00,22,53,631,424,66,22,22,22.0,53,50,51.5,631,469,529.21,430,411,419.5,71,51,62.43,2
2027-11-30 09:55:00 to 2027-11-30 10:25:00,19,54,705,522,38,20,19,19.12,57,52,53.42,895,581,680.58,536,516,526.46,47,27,36.81,5
2027-12-02 21:00:00 to 2027-12-02 21:30:00,23,54,904,312,76,24,23,23.23,54,48,50.42,904,519,652.45,321,301,312.52,77,58,66.84,2
2027-12-04 03:06:00 to 2027-12-04 03:36:00,27,46,1053,771,42,27,25,26.35,46,37,40.77,1112,687,847.58,786,767,775.55,46,27,37.23,1
2027-12-05 12:38:00 to 2027-12-05 13:08:00,24,40,793,674,42,24,24,24.0,41,40,40.22,824,758,782.22,678,660,671.78,50,30,40.33,5
2027-12-06 20:15:00 to 2027-12-06 20:45:00,26,45,1115,447,65,28,25,26.32,45,35,38.81,1122,574,794.29,448,428,437.77,71,51,60.42,1
2027-12-07 05:53:00 to 2027-12-07 06:23:00,23,40,705,468,51,24,23,23.12,45,40,42.5,814,605,707.17,469,449,459.54,65,45,54.58,5
2027-12-09 15:36:00 to 2027-12-09 16:06:00,26,51,1273,269,69,28,24,25.48,59,43,51.35,1333,512,870.26,287,268,276.13,78,59,70.06,1
2027-12-09 20:36:00 to 2027-12-09 21:06:00,22,41,448,324,66,22,22,22.0,41,40,40.29,454,418,441.0,332,317,323.86,66,46,56.14,3
2027-12-10 00:25:00 to 2027-12-10 00:55:00,21,63,1095,289,69,23,19,20.52,65,53,59.03,1254,554,807.45,296,277,284.77,70,50,58.77,1
2027-12-10 11:00:00 to 2027-12-10 11:30:00,26,51,998,267,60,26,25,25.26,56,49,51.9,1051,734,849.55,284,264,273.32,63,44,53.55,1
2027-12-10 15:45:00 to 2027-12-10 16:15:00,26,61,849,381,51,26,26,26.0,62,59,60.44,849,710,767.31,391,373,380.75,70,50,58.12,3
2027-12-13 00:50:00 to 2027-12-13 01:20:00,21,53,589,729,54,22,21,21.19,56,51,52.57,705,534,598.86,737,717,728.62,63,43,53.76,3
2027-12-14 04:33:00 to 2027-12-14 05:03:00,22,49,1360,768,71,24,20,21.65,57,41,47.39,1360,572,871.81,769,749,760.39,72,54,62.77,2
2027-12-16 15:47:00 to 2027-12-16 16:17:00,25,38,762,627,55,25,24,24.17,43,38,40.61,778,612,689.67,627,607,619.22,75,55,65.56,4
2027-12-17 18:26:00 to 2027-12-17 18:56:00,25,35,942,520,47,28,25,26.58,45,31,36.32,1361,703,959.48,535,516,526.77,60,40,49.71,4
2027-12-19 19:17:00 to 2027-12-19 19:47:00,26,43,860,476,47,26,23,24.71,50,39,43.55,1244,688,891.16,494,475,483.94,57,38,48.65,3
2027-12-19 21:07:00 to 2027-12-19 21:37:00,20,55,757,600,57,20,19,19.32,62,55,58.1,1046,543,690.35,617,597,607.68,72,52,62.42,2
2027-12-20 22:50:00 to 2027-12-20 23:20:00,23,43,683,460,46,24,23,23.1,43,38,39.43,802,596,675.81,461,443,453.9,47,27,36.24,5
2027-12-23 08:46:00 to 2027-12-23 09:16:00,19,41,703,653,71,19,19,19.0,44,41,42.59,811,647,709.24,666,650,657.41,73,58,66.0,2
2027-12-23 10:34:00 to 2027-12-23 11:04:00,21,61,1116,204,44,23,19,20.39,65,50,58.65,1411,670,970.77,223,203,213.71,46,27,36.65,4
2027-12-25 11:56:00 to 2027-12-25 12:26:00,25,41,1210,730,72,25,20,22.84,53,32,42.29,1649,564,1090.13,735,716,725.42,76,56,66.71,1
2027-12-26 16:00:00 to 2027-12-26 16:30:00,24,46,819,363,60,25,24,24.16,52,46,49.61,909,506,630.61,371,351,362.16,70,51,60.87,4
2027-12-27 22:55:00 to 2027-12-27 23:25:00,24,62,748,720,32,24,23,23.15,62,56,58.42,762,529,618.96,737,717,726.65,48,29,40.0,5
2027-12-27 23:49:00 to 2027-12-28 00:19:00,23,35,907,293,41,23,22,22.14,65,35,38.82,1186,782,878.5,731,283,329.77,50,30,39.45,4
2027-12-28 11:47:00 to 2027-12-28 12:17:00,23,53,721,804,56,24,23,23.06,56,52,53.56,803,630,696.83,804,785,794.89,68,51,57.33,3
2027-12-28 14:30:00 to 2027-12-28 15:00:00,22,51,423,330,39,22,22,22.0,51,51,51.0,423,423,423.0,330,330,330.0,39,39,39.0,5
2027-12-29 21:38:00 to 2027-12-29 22:08:00,25,48,770,654,48,25,25,25.0,50,48,49.11,833,731,763.33,665,649,656.67,50,34,41.89,2
2027-12-31 00:38:00 to 2027-12-31 01:08:00,25,44,580,612,58,25,25,25.0,44,43,43.22,638,534,576.67,617,602,611.11,59,40,49.44,3
2027-12-31 07:07:00 to 2027-12-31 07:37:00,24,56,1119,309,55,24,22,23.26,60,53,56.68,1173,770,912.81,322,302,311.23,65,47,57.1,2
2028-01-01 19:24:00 to 2028-01-01 19:54:00,26,46,1263,258,52,27,24,25.48,47,33,38.19,1346,723,1013.74,265,245,257.19,59,40,49.65,1
2028-01-02 02:42:00 to 2028-01-02 03:12:00,26,57,660,238,49,26,26,26.0,57,55,55.46,665,530,582.85,243,224,234.15,54,35,45.69,5
2028-01-04 12:30:00 to 2028-01-04 13:00:00,26,59,670,704,58,26,26,26.0,59,59,59.0,670,670,670.0,704,704,704.0,58,58,58.0,2
2028-01-05 18:14:00 to 2028-01-05 18:44:00,26,36,1193,334,66,27,24,25.42,43,32,36.16,1193,590,765.42,343,323,332.55,70,51,60.19,1
2028-01-05 18:39:00 to 2028-01-05 19:09:00,24,36,804,322,31,27,24,25.25,43,32,36.5,1193,638,815.54,341,315,328.38,70,31,51.21,5
2028-01-05 23:11:00 to 2028-01-05 23:41:00,27,44,828,696,55,28,26,26.55,48,38,42.26,1022,558,722.23,700,680,690.23,75,55,65.52,3
2028-01-06 05:53:00 to 2028-01-06 06:23:00,24,42,793,741,63,25,24,24.04,47,42,43.75,872,581,691.96,761,741,750.21,64,44,52.67,1
2028-01-07 12:09:00 to 2028-01-07 12:39:00,19,49,1021,520,59,21,19,19.26,55,46,49.97,1173,671,852.1,537,517,526.65,61,42,50.94,3
2028-01-09 19:31:00 to 2028-01-09 20:01:00,24,39,637,669,54,24,24,24.0,39,39,39.0,637,629,633.0,669,658,663.5,59,54,56.5,3
2028-01-10 04:58:00 to 2028-01-10 05:28:00,24,38,821,393,59,25,24,24.17,43,37,39.76,1051,700,820.14,400,380,390.0,61,41,51.79,3
2028-01-12 17:03:00 to 2028-01-12 17:33:00,23,59,1002,659,54,24,22,23.26,59,51,55.1,1067,632,765.42,662,642,651.77,60,40,51.58,2
2028-01-12 22:29:00 to 2028-01-12 22:59:00,26,53,960,343,40,26,23,24.71,63,51,56.1,1432,747,1042.1,359,339,349.9,59,39,47.45,3
2028-01-13 02:39:00 to 2028-01-13 03:09:00,22,54,719,258,53,22,22,22.0,54,53,53.2,719,619,655.2,258,240,249.8,54,41,49.5,4
2028-01-14 05:24:00 to 2028-01-14 05:54:00,24,48,876,625,40,26,23,24.84,57,44,49.32,1454,812,1080.68,637,617,626.06,54,34,43.42,5
2028-01-16 13:49:00 to 2028-01-16 14:19:00,23,58,582,363,48,24,23,23.1,61,58,59.35,728,525,598.0,379,359,367.45,61,44,52.15,4
2028-01-19 01:44:00 to 2028-01-19 02:14:00,19,43,714,725,35,19,19,19.0,44,42,43.13,792,617,693.2,741,723,731.13,54,35,46.67,3
2028-01-20 10:51:00 to 2028-01-20 11:21:00,19,55,638,676,61,20,19,19.23,60,55,57.82,793,542,619.23,696,676,683.36,80,60,68.77,1
2028-01-22 22:37:00 to 2028-01-22 23:07:00,22,48,651,587,42,22,22,22.0,48,47,47.25,651,553,590.88,594,574,584.0,59,42,49.5,5
2028-01-24 03:41:00 to 2028-01-24 04:11:00,20,47,803,352,25,20,20,20.0,47,45,45.5,844,760,791.0,354,341,348.92,44,25,37.17,3
2028-01-24 16:18:00 to 2028-01-24 16:48:00,25,37,1316,248,47,28,25,26.55,46,37,41.16,1316,734,940.23,254,236,245.03,57,37,48.81,1
2028-01-25 23:39:00 to 2028-01-26 00:09:00,24,46,1378,709,29,24,20,21.78,60,31,43.78,1404,421,848.76,714,313,611.93,74,29,44.32,4
2028-01-25 23:48:00 to 2028-01-26 00:18:00,21,31,1389,697,34,24,20,21.82,61,31,47.54,1459,421,842.78,713,313,558.92,74,29,47.86,4
2028-01-28 03:16:00 to 2028-01-28 03:46:00,27,50,728,591,66,28,25,26.45,52,40,45.19,1158,669,849.0,607,588,596.61,68,48,59.23,2
2028-01-30 13:38:00 to 2028-01-30 14:08:00,22,49,1224,341,71,22,18,19.81,54,40,47.0,1650,934,1207.68,361,341,350.61,78,58,69.26,1
2028-01-30 16:09:00 to 2028-01-30 16:39:00,25,32,954,694,58,25,24,24.35,42,32,36.1,1020,491,690.29,700,680,691.29,63,44,53.9,4
2028-01-30 22:58:00 to 2028-01-30 23:28:00,18,57,746,737,45,19,18,18.24,57,50,52.41,810,484,604.55,750,730,738.48,58,38,48.41,4
2028-01-31 05:58:00 to 2028-01-31 06:28:00,26,40,1020,237,30,27,26,26.24,40,35,37.48,1092,721,836.31,256,236,245.9,48,28,38.21,3
2028-02-02 13:40:00 to 2028-02-02 14:10:00,24,35,714,493,59,24,24,24.0,36,34,35.18,714,613,653.45,497,483,490.36,66,47,58.36,3
2028-02-02 16:23:00 to 2028-02-02 16:53:00,21,46,1151,578,57,23,20,21.45,60,46,52.19,1299,724,939.13,586,570,578.1,74,55,63.97,2
2028-02-04 02:20:00 to 2028-02-04 02:50:00,23,37,826,554,39,23,21,21.84,46,36,41.81,1257,676,916.13,572,552,560.55,51,31,39.35,3
2028-02-05 09:37:00 to 2028-02-05 10:07:00,21,53,506,775,68,21,21,21.0,54,52,53.0,575,490,514.25,776,767,771.75,71,53,63.25,4
2028-02-05 19:09:00 to 2028-02-05 19:39:00,27,53,765,627,43,27,25,25.39,58,49,52.74,1097,649,803.16,632,612,622.19,51,32,41.48,2
2028-02-07 01:53:00 to 2028-02-07 02:23:00,18,40,658,557,47,19,18,18.04,40,34,36.79,851,587,694.08,573,554,562.33,53,35,46.92,3
2028-02-07 04:39:00 to 2028-02-07 05:09:00,25,61,716,196,56,25,25,25.0,61,60,60.3,716,613,654.3,212,194,201.0,62,49,56.3,3
2028-02-09 13:33:00 to 2028-02-09 14:03:00,23,48,492,783,54,23,23,23.0,48,48,48.0,492,475,483.5,802,782,789.75,55,50,52.75,3
2028-02-11 00:14:00 to 2028-02-11 00:44:00,19,51,1190,756,29,21,19,19.52,60,51,55.9,1335,813,997.16,762,745,752.26,47,27,37.06,4
2028-02-12 09:30:00 to 2028-02-12 10:00:00,18,40,722,768,50,18,18,18.0,40,40,40.0,722,722,722.0,768,768,768.0,50,50,50.0,4
2028-02-14 19:02:00 to 2028-02-14 19:32:00,25,53,875,252,57,26,25,25.16,53,47,49.94,875,532,667.29,252,233,242.74,73,53,63.94,3
2028-02-16 20:00:00 to 2028-02-16 20:30:00,22,49,838,453,41,23,22,22.29,52,46,48.97,891,521,643.87,458,438,447.0,54,36,46.42,3
2028-02-18 01:54:00 to 2028-02-18 02:24:00,22,54,691,342,36,23,22,22.04,55,51,53.2,722,461,580.72,342,324,332.44,47,29,37.28,5
2028-02-20 08:27:00 to 2028-02-20 08:57:00,26,62,1142,698,60,28,25,26.74,64,51,56.84,1322,664,996.16,698,678,687.97,70,52,61.71,1
2028-02-21 19:47:00 to 2028-02-21 20:17:00,24,46,798,256,61,24,23,23.11,50,46,48.17,798,583,659.33,271,252,263.67,74,55,64.33,1
2028-02-23 04:19:00 to 2028-02-23 04:49:00,21,37,541,737,44,21,18,19.71,48,37,41.84,1065,495,745.68,745,725,734.29,50,30,40.26,5
2028-02-23 07:13:00 to 2028-02-23 07:43:00,22,45,1060,263,62,24,21,22.39,54,44,48.16,1239,716,924.16,267,249,257.45,76,57,67.0,1
2028-02-23 17:28:00 to 2028-02-23 17:58:00,23,52,812,711,43,27,23,24.68,68,52,59.97,1036,565,767.61,716,696,705.45,52,32,43.71,4
2028-02-25 21:09:00 to 2028-02-25 21:39:00,20,60,738,553,47,21,19,19.39,65,57,61.55,984,665,820.65,568,549,557.45,60,41,53.26,5
2028-02-28 04:31:00 to 2028-02-28 05:01:00,18,47,606,569,42,18,18,18.0,47,47,47.0,606,601,603.5,569,569,569.0,42,33,37.5,4
2028-03-01 14:49:00 to 2028-03-01 15:19:00,25,51,1037,231,51,26,25,25.15,52,49,50.25,1037,796,884.15,240,220,228.6,57,37,48.3,2
2028-03-04 01:01:00 to 2028-03-04 01:31:00,25,52,966,697,51,26,25,25.23,52,45,46.87,988,621,766.55,705,686,695.65,54,35,44.32,2
2028-03-06 12:33:00 to 2028-03-06 13:03:00,19,57,807,472,56,19,19,19.0,57,57,57.0,807,778,793.0,476,456,468.0,65,55,59.75,2
2028-03-06 13:51:00 to 2028-03-06 14:21:00,24,57,832,430,56,25,24,24.18,59,55,56.32,832,521,609.55,442,423,432.09,59,39,49.27,2
2028-03-07 23:40:00 to 2028-03-08 00:10:00,25,42,655,362,50,25,25,25.0,42,41,41.55,674,569,616.64,378,359,368.09,63,46,54.64,5
2028-03-09 10:30:00 to 2028-03-09 11:00:00,28,71,1358,470,57,28,24,25.71,71,56,63.03,1358,578,896.48,472,455,463.87,63,43,54.48,1
2028-03-11 17:50:00 to 2028-03-11 18:20:00,20,60,912,709,43,20,19,19.1,61,56,58.24,912,635,729.62,711,692,700.86,61,43,51.43,4
2028-03-13 04:30:00 to 2028-03-13 05:00:00,22,46,496,636,46,22,22,22.0,46,46,46.0,496,496,496.0,636,636,636.0,46,46,46.0,4
2028-03-15 06:57:00 to 2028-03-15 07:27:00,19,53,959,668,46,19,18,18.21,58,53,54.93,959,559,677.36,680,660,670.82,55,35,43.93,3
2028-03-17 16:56:00 to 2028-03-17 17:26:00,22,38,923,469,53,22,21,21.22,42,36,38.22,923,559,669.96,484,465,473.67,73,53,61.85,2
2028-03-18 22:36:00 to 2028-03-18 23:06:00,22,46,626,582,61,22,22,22.0,46,45,45.14,647,598,622.57,587,572,580.43,68,48,58.29,4
2028-03-19 07:35:00 to 2028-03-19 08:05:00,20,44,542,513,61,20,20,20.0,44,44,44.0,542,491,516.83,528,510,516.5,72,55,62.67,3
2028-03-20 16:51:00 to 2028-03-20 17:21:00,19,41,783,276,62,20,19,19.05,44,40,41.82,798,499,606.68,291,275,282.14,73,54,63.5,1
2028-03-23 00:34:00 to 2028-03-23 01:04:00,21,57,805,256,53,21,21,21.0,57,56,56.2,813,772,793.2,271,255,261.2,68,53,62.0,4
2028-03-25 10:57:00 to 2028-03-25 11:27:00,19,65,948,382,46,19,18,18.18,65,58,60.61,1080,712,831.86,397,378,387.79,47,28,39.96,2
2028-03-26 14:00:00 to 2028-03-26 14:30:00,20,60,1062,647,43,20,19,19.23,62,54,57.74,1077,673,794.58,662,642,651.16,47,27,34.97,3
2028-03-26 15:18:00 to 2028-03-26 15:48:00,22,47,1376,266,65,23,19,20.9,72,40,48.12,1812,769,1075.66,661,256,360.63,79,29,60.2,2
2028-03-29 00:40:00 to 2028-03-29 01:10:00,24,37,898,697,32,24,24,24.0,39,37,38.09,898,768,814.73,705,690,696.36,46,28,37.91,5
2028-03-29 13:04:00 to 2028-03-29 13:34:00,24,48,766,592,67,24,22,22.42,49,40,43.94,869,560,679.84,605,585,594.77,71,53,62.32,2
2028-03-31 21:35:00 to 2028-03-31 22:05:00,18,61,569,739,35,18,18,18.0,61,60,60.17,569,526,547.33,752,737,742.83,50,35,40.83,4
2028-04-03 02:32:00 to 2028-04-03 03:02:00,24,40,963,681,42,24,21,22.48,54,37,44.48,1648,875,1215.77,698,678,688.06,48,29,38.13,4
2028-04-03 08:30:00 to 2028-04-03 09:00:00,25,58,629,537,25,25,25,25.0,58,58,58.0,629,629,629.0,537,537,537.0,25,25,25.0,5
2028-04-05 20:37:00 to 2028-04-05 21:07:00,20,38,499,755,40,20,20,20.0,38,37,37.38,500,429,464.0,772,755,761.5,53,37,44.62,5
